episode,tonnage_t,wait_min,fuel_l
0,25900.00,467.21,1391.15
1,25620.00,535.62,1387.06
2,25200.00,580.98,1378.15
3,26040.00,544.10,1407.43
4,25620.00,613.85,1387.43
5,26040.00,592.51,1388.85
6,25620.00,534.57,1386.16
7,25060.00,595.58,1371.72
8,25620.00,578.24,1390.01
9,25060.00,610.54,1376.93
10,24780.00,508.54,1384.15
11,25200.00,613.10,1392.78
12,25480.00,626.30,1385.15
13,25060.00,612.77,1387.38
14,25060.00,577.37,1375.25
15,24920.00,632.43,1389.11
16,25480.00,534.76,1391.20
17,25200.00,590.24,1385.90
18,24920.00,514.21,1380.00
19,24920.00,553.92,1381.47
20,25200.00,537.26,1386.04
21,25200.00,591.34,1387.72
22,25340.00,576.22,1394.13
23,25340.00,507.74,1395.24
24,25340.00,535.33,1393.64
25,24920.00,608.52,1381.01
26,25480.00,492.59,1382.45
27,25340.00,526.69,1387.82
28,25480.00,502.56,1401.83
29,24920.00,574.04,1374.13
30,25200.00,540.39,1382.43
31,25620.00,547.27,1400.98
32,24780.00,668.53,1373.87
33,26040.00,508.11,1403.61
34,25060.00,557.14,1374.45
35,25480.00,570.11,1395.68
36,25620.00,455.64,1403.23
37,25200.00,637.53,1367.63
38,25900.00,569.10,1387.74
39,25620.00,559.31,1395.52
40,25200.00,535.77,1386.56
41,25200.00,708.07,1385.69
42,26320.00,426.48,1398.15
43,25480.00,515.19,1389.28
44,25480.00,503.30,1379.47
45,25340.00,513.64,1395.30
46,25340.00,494.25,1388.17
47,25340.00,553.72,1391.44
48,25760.00,510.91,1392.49
49,25340.00,472.77,1386.32
50,25900.00,601.16,1388.62
51,25200.00,580.67,1371.20
52,25480.00,502.86,1389.19
53,25060.00,544.45,1384.68
54,25060.00,569.13,1385.69
55,25760.00,491.52,1399.62
56,24920.00,698.05,1387.70
57,25480.00,544.07,1391.36
58,25480.00,552.93,1392.32
59,24780.00,667.36,1380.88
60,25480.00,497.19,1391.98
61,25060.00,511.58,1385.13
62,26180.00,495.66,1411.93
63,25620.00,637.84,1386.19
64,26320.00,523.63,1413.00
65,25200.00,593.36,1384.80
66,26180.00,531.14,1397.86
67,25340.00,493.21,1382.52
68,25340.00,495.56,1380.20
69,25900.00,572.37,1407.71
70,25480.00,600.17,1393.17
71,26180.00,602.61,1390.78
72,25340.00,540.81,1377.27
73,25900.00,560.59,1398.73
74,25340.00,554.40,1369.48
75,25900.00,545.72,1403.75
76,25340.00,584.60,1386.35
77,25480.00,614.40,1385.44
78,25900.00,568.00,1394.31
79,25480.00,501.27,1402.00
80,25760.00,636.06,1393.83
81,25060.00,639.47,1395.20
82,24920.00,580.88,1378.83
83,24780.00,526.96,1391.35
